Spec,Price,product link
"Hp Pavilion X360 DY0083NIA, Intel Pentium, 4GB RAM 512GB SSD, 14 Inch Convertible Screen, Windows 10 with Free Laptop Bag", 199995,https://www.jumia.com.ng/hp-pavilion-x360-dy0083nia-intel-pentium-4gb-ram-512gb-ssd-14-inch-convertible-screen-windows-10-with-free-laptop-bag-98344081.html
Hp 14 SPECTRE X360 CONVERTIBLE INTEL CORE-I5 8GB/512GB WIN 10, 865000,https://www.jumia.com.ng/hp-14-spectre-x360-convertible-intel-core-i5-8gb512gb-win-10-79430126.html
Hp 15-dw12395nia Intel® Celeron® N4020 4 GB 1TB Win 10 - Gold, 169990,https://www.jumia.com.ng/hp-15-dw12395nia-intelr-celeronr-n4020-4-gb-1tb-win-10-gold-97074647.html
Lenovo Ideapad 15 - AMD QUAD CORE 1TB HDD 8GB RAM Win 10+32GB Flash, 180000,https://www.jumia.com.ng/lenovo-ideapad-15-amd-quad-core-1tb-hdd-8gb-ram-win-1032gb-flash-90086016.html
Lenovo Ideapad Intel Celeron 1TB HDD 8GB RAM Win 10+ 32GB Flash, 169810,https://www.jumia.com.ng/lenovo-ideapad-intel-celeron-1tb-hdd-8gb-ram-win-10-32gb-flash-77142174.html
"Hp 15 DW1207NIA Intel Celeron N4020,4GB/500GB Memory, 15.6"" HD Screen, Windows 10 Home - Jet Black Mesh", 155515,https://www.jumia.com.ng/hp-15-dw1207nia-intel-celeron-n40204gb500gb-memory-15.6-hd-screen-windows-10-home-jet-black-mesh-106229973.html
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH, 102715,https://www.jumia.com.ng/stream-11-intel-celeron-2gb-ram-32gb-hdd-win-10-32gb-flash-hp-mpg1652354.html
Lenovo Ideapad 14inch AMD Quad Core 1TB HDD 8GB RAM -Wins 10+ Mouse, 162905,https://www.jumia.com.ng/lenovo-ideapad-14inch-amd-quad-core-1tb-hdd-8gb-ram-wins-10-mouse-72136660.html
Hp Stream 11 Intel Celeron D/C 4GB RAM- 64GB HDD WIN 10+ BAG, 110000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-dc-4gb-ram-64gb-hdd-win-10-bag-76593889.html
"Itel 14” (HD) Intel® Celeron™ N3350 (Quad Core), 4GB RAM 1TB Hard Disk Able 1 Notebook Laptop", 139730,https://www.jumia.com.ng/itel-14-hd-intelr-celerontm-n3350-quad-core-4gb-ram-1tb-hard-disk-able-1-notebook-laptop-81826240.html
Hp 15 Intel Celeron 4GB RAM 500GB Hard Drive Windows 10 - DW1207NIA - N4020 - Jet Black Mesh, 162350,https://www.jumia.com.ng/hp-15-intel-celeron-4gb-ram-500gb-hard-drive-windows-10-dw1207nia-n4020-jet-black-mesh-86162647.html
Classic Macbook Soft Sleeve Case/Bag.Suitable For 11 12 13 14 15.6 Inches, 4920,https://www.jumia.com.ng/generic-classic-macbook-soft-sleeve-casebag.suitable-for-11-12-13-14-15.6-inches-77393250.html
Hp Pavilion 15 - Intel Core I5 - Touchscreen - 12GB RAM 1TB HDD Windows 10 Professional + 32GB Flash, 360000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i5-touchscreen-12gb-ram-1tb-hdd-windows-10-professional-32gb-flash-79007131.html
"Lenovo IdeaPad, 3-15IGL05 Laptop, Intel Celeron N4020, 4GB RAM, 1TB HDD, win 10", 149505,https://www.jumia.com.ng/lenovo-ideapad3-15igl05laptop-intel-celeronn4020-4gb-ram1tbhdd-win-10-97074649.html
"Hp HP 14-CF2049NIA Laptop (CEL-N4020, 4GB/1TD Memory, 14"" HD Screen, Windows 11 Home - Jet Black", 161030,https://www.jumia.com.ng/hp-hp-14-cf2049nia-laptop-cel-n4020-4gb1td-memory-14-hd-screen-windows-11-home-jet-black-98344003.html
Hp Stream 11 Intel Celeron D/C 4GB RAM- 32GB HDD WIN 10+ BAG, 110000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-dc-4gb-ram-32gb-hdd-win-10-bag-82176645.html
"Hp 14 Intel Celeron, 64GB, 4GB, Windows 11 In S Mode+ Mouse", 159260,https://www.jumia.com.ng/hp-14-intel-celeron-64gb-4gb-windows-11-in-s-mode-mouse-101690529.html
"Multipurpose Foldable Table, Bed Side Table, Tray Holder Breakfast Laptop Desk Serving Table", 8500,https://www.jumia.com.ng/multipurpose-foldable-table-bed-side-table-tray-holder-breakfast-laptop-desk-serving-table-generic-mpg1652307.html
Hp 14 Intel Celeron N4020 8GB RAM 1TB HDD Windows 10 + Mouse, 183700,https://www.jumia.com.ng/hp-14-intel-celeron-n4020-8gb-ram-1tb-hdd-windows-10-mouse-111394658.html
"Portable Aluminum 7~15.4 Inch Laptop Stand Also For Tablet Notebook,Laptop", 7500,https://www.jumia.com.ng/generic-portable-aluminum-715.4-inch-laptop-stand-also-for-tablet-notebooklaptop-82043437.html
Hp Stream 11 Pro Intel Celeron 4GB RAM- 64GB WIN 10+ 32gb Flash, 110000,https://www.jumia.com.ng/hp-stream-11-pro-intel-celeron-4gb-ram-64gb-win-10-32gb-flash-106120966.html
Anti Blue Ray Light Blocking Glasses For Computers / Phones, 2790,https://www.jumia.com.ng/generic-anti-blue-ray-light-blocking-glasses-for-computers-phones-79576905.html
Lenovo Ideapad 14 - AMD QUAD CORE 1TB HDD 8GB RAM Win 10+32GB Flash, 170000,https://www.jumia.com.ng/ideapad-14-amd-quad-core-1tb-hdd-8gb-ram-win-1032gb-flash-lenovo-mpg1638510.html
Hp Stream 11 Pro- Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ BAG, 110000,https://www.jumia.com.ng/stream-11-pro-intel-celeron-education-edition-4gb-ram-64gb-hdd-windows-10-pro-bag-hp-mpg1652359.html
Hp Stream 11 Pro- Intel Celeron- Education Edition - 4GB RAM - 64GB Windows 10, 105595,https://www.jumia.com.ng/hp-stream-11-pro-intel-celeron-education-edition-4gb-ram-64gb-windows-10-98133873.html
Hp Pavilion 15 Intel Core I3 - 16GB RAM - TOUCHSCREEN -10TH GEN- 1TB HDD Windows 10, 279000,https://www.jumia.com.ng/pavilion-15-intel-core-i3-16gb-ram-touchscreen-10th-gen-1tb-hdd-windows-10-hp-mpg1652348.html
Classic Macbook Soft Sleeve Case/Bag.Suitable For 11 12 13 14 15.6 Inches, 5200,https://www.jumia.com.ng/generic-classic-macbook-soft-sleeve-casebag.suitable-for-11-12-13-14-15.6-inches-77393189.html
Adjustable Folding Laptop Stand Desk, 11999,https://www.jumia.com.ng/generic-adjustable-folding-laptop-stand-desk-100236781.html
